"File","Length","Score","HasCode"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\09_Physical_Machine_Layer\05_Memory_Management_Hardware\README.md","852","5","False"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\06_Control_Unit_Design\README.md","790","5","False"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\09_Interrupt_Hardware\README.md","489","4","False"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\13_Hardware_Description\04_HLS_with_C\README.md","469","4","False"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\14_C_to_Hardware_Mapping\README.md","668","4","False"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\16_Performance_Analysis_Hardware\README.md","684","5","False"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\19_Hardware_Debugging\README.md","1285","5","False"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\07_Hardware_Security\README.md","786","4","False"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\Industrial_Linux\README.md","1447","4","False"
"E:\_src\C_Lang\knowledge\18_Robotics_Physical_Control\02_Kinematics\README.md","959","6","True"
"E:\_src\C_Lang\knowledge\18_Robotics_Physical_Control\03_Dynamics\README.md","551","4","False"
"E:\_src\C_Lang\knowledge\18_Robotics_Physical_Control\04_Control\README.md","640","6","True"
"E:\_src\C_Lang\knowledge\18_Robotics_Physical_Control\05_Motor_Control_Advanced\README.md","980","6","True"
"E:\_src\C_Lang\knowledge\18_Robotics_Physical_Control\06_Physics_Simulation\README.md","564","4","False"
"E:\_src\C_Lang\knowledge\18_Robotics_Physical_Control\07_Computer_Vision_Robotics\README.md","506","4","False"
"E:\_src\C_Lang\knowledge\18_Robotics_Physical_Control\08_Case_Studies\README.md","503","4","False"
