"File","Lines","HasTOC","HasDeepSection","HasPlaceholderDeep","HasExamples","HasSummary","IsMinimal"
"02_Formal_Semantics_and_Physics\diagrams\network_statistics.md","27","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\09_Distributed_Algorithms\01_Distributed_Consensus.md","33","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\23_Cache_System.md","33","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\09_Embedded_Linux\01_Buildroot_Guide.md","33","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\07_Distributed_KV_Store_Case.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\06_Virtual_Machine_Case.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\05_Network_Protocol_Stack_Case.md","35","No","No","No","No","No","Yes"
"05_C_Language_Standards\06_Standard_Evolution\03_C_Implementations.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\03_Compiler_Frontend_Case.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\04_Database_Engine_Case.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\16_Garbage_Collector.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\17_Debugger_Implementation.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\20_Proxy_Server.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\15_JIT_Compiler.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\08_Embedded_Bootloader_Case.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\11_Container_Runtime.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\12_Real_Time_Audio.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\09_Embedded_Linux\02_Yocto_Project.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\45_5G_Core_Network\01_5G_Core_Implementation.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\44_Augmented_Reality\01_AR_Tracking_System.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\14_Aerospace\01_DO_178C.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\46_Satellite_Communication\01_Satellite_Ground_System.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\07_Code_Review\01_C_Code_Review_Guide.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\08_Documentation\01_Technical_Writing_for_C.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\05_Performance_Optimization\01_Profiling_Methodology.md","35","No","No","No","No","No","Yes"
"07_Development_Methodology\06_Security_Development\01_Secure_Coding_Practices.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\11_Industrial_Protocols\01_Modbus_Protocol.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\11_Industrial_Protocols\02_CAN_Bus_Programming.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\10_FPGA\01_Soft_Core_Programming.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\10_FPGA\02_HLS_C_Programming.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\12_Safety_Critical\02_IEC_61508.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\13_Medical_Devices\01_Medical_Device_Software.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\11_Industrial_Protocols\03_Ethernet_IP.md","35","No","No","No","No","No","Yes"
"06_Embedded_Bare_Metal\12_Safety_Critical\01_ISO_26262.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\20_Network_Programming\02_Zero_Copy_Networking.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\20_Network_Programming\03_TLS_Implementation.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\19_Systems_Security\03_Malware_Analysis.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\20_Network_Programming\01_Nonblocking_IO.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\22_Virtualization\02_Hypervisor_Design.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\23_Storage_Systems\01_Distributed_Storage.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\21_OS_Internals\02_Kernel_Memory_Management.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\21_OS_Internals\03_Kernel_Networking_Stack.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\15_Security_Engineering\01_Exploit_Mitigations.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\15_Security_Engineering\02_Secure_Coding_Standards.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\12_Computer_Graphics\01_OpenGL_C_Integration.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\14_Natural_Language_Processing\01_Tokenizer_Implementation.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\17_Distributed_Systems\02_Distributed_Transactions.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\18_Systems_Performance\04_Memory_Optimization.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\16_High_Performance_Computing\01_MPI_Programming.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\17_Distributed_Systems\01_Raft_Consensus.md","35","No","No","No","No","No","Yes"
"04_Standard_Library_Frameworks\10_Serialization\01_Protocol_Buffers_C.md","35","No","No","No","No","No","Yes"
"04_Standard_Library_Frameworks\10_Serialization\02_MessagePack_C.md","35","No","No","No","No","No","Yes"
"04_Standard_Library_Frameworks\09_Containers\01_Klib_Data_Structures.md","35","No","No","No","No","No","Yes"
"04_Standard_Library_Frameworks\09_Containers\02_Glib_Data_Structures.md","35","No","No","No","No","No","Yes"
"05_C_Language_Standards\06_Standard_Evolution\01_C_Historical_Evolution.md","35","No","No","No","No","No","Yes"
"05_C_Language_Standards\06_Standard_Evolution\02_C_Standard_Committee.md","35","No","No","No","No","No","Yes"
"05_C_Language_Standards\05_C23_Standard\01_C23_New_Features.md","35","No","No","No","No","No","Yes"
"05_C_Language_Standards\05_C23_Standard\02_C23_Migration_Guide.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\25_Cloud_Native\01_Microservices_in_C.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\25_Cloud_Native\02_Kubernetes_Operators.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\24_Edge_Computing\01_Edge_Device_Programming.md","35","No","No","No","No","No","Yes"
"03_System_Technology_Domains\24_Edge_Computing\02_IoT_Gateway_Development.md","35","No","No","No","No","No","Yes"
"04_Standard_Library_Frameworks\07_Networking\01_libcurl_Integration.md","35","No","No","No","No","No","Yes"
"04_Standard_Library_Frameworks\08_Persistence\01_SQLite_Integration.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\24_RPC_Framework.md","35","No","No","No","No","No","Yes"
"04_Standard_Library_Frameworks\06_Test_Frameworks\01_CMocka_Testing.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\09_Distributed_Algorithms\02_Consistent_Hashing.md","35","No","No","No","No","No","Yes"
"10_Modern_C_Development\01_Memory_Safety\01_Announcing_Ownership.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\02_HyperLogLog.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\03_Count_Min_Sketch.md","35","No","No","No","No","No","Yes"
"10_Modern_C_Development\03_Metaprogramming\02_C_Code_Generation.md","35","No","No","No","No","No","Yes"
"11_Performance_Engineering\03_GPU_Programming\01_CUDA_C_Basics.md","35","No","No","No","No","No","Yes"
"10_Modern_C_Development\02_Modern_Tooling\01_LLVM_Toolchain.md","35","No","No","No","No","No","Yes"
"10_Modern_C_Development\03_Metaprogramming\01_C_Preprocessor_Metaprogramming.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\01_Arbitrary_Precision.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\02_Linear_Algebra_Library.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\03_LSM_Tree.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\04_B_Tree_Plus.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\07_Geometric_Algorithms\02_Collision_Detection.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\01_Bloom_Filter.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\03_Fourier_Transforms.md","35","No","No","No","No","No","Yes"
"09_Data_Structures_Algorithms\07_Geometric_Algorithms\01_Computational_Geometry.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\03_Advanced_Projects\01_Database_Engine.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\03_Advanced_Projects\02_TCPIP_Stack.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\02_Intermediate_Projects\01_HTTP_Server.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\02_Intermediate_Projects\02_Redis_Client.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\04_Expert_Challenges\03_Programming_Language.md","35","No","No","No","No","No","Yes"
"20_Industrial_Case_Studies\39_Drone_Flight_Control\01_Flight_Control_System.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\04_Expert_Challenges\01_Operating_System_Kernel.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\04_Expert_Challenges\02_Database_System.md","35","No","No","No","No","No","Yes"
"11_Performance_Engineering\05_Profiling_Tools\02_Memory_Profiling.md","35","No","No","No","No","No","Yes"
"11_Performance_Engineering\05_Profiling_Tools\03_System_Profiling.md","35","No","No","No","No","No","Yes"
"11_Performance_Engineering\04_Benchmarking\01_Google_Benchmark.md","35","No","No","No","No","No","Yes"
"11_Performance_Engineering\05_Profiling_Tools\01_Flame_Graphs.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\01_Beginner_Projects\01_Text_Editor.md","35","No","No","No","No","No","Yes"
"12_Practice_Exercises\01_Beginner_Projects\02_Shell_Implementation.md","35","No","No","No","No","No","Yes"
"11_Performance_Engineering\06_Energy_Efficiency\01_Green_Computing.md","35","No","No","No","No","No","Yes"
