"File","Lines","HasTOC","HasDeep","IsPlaceholder"
"02_Formal_Semantics_and_Physics\diagrams\network_statistics.md","26","No","No","No"
"06_Embedded_Bare_Metal\09_Embedded_Linux\01_Buildroot_Guide.md","32","No","No","No"
"09_Data_Structures_Algorithms\09_Distributed_Algorithms\01_Distributed_Consensus.md","32","No","No","No"
"20_Industrial_Case_Studies\23_Cache_System.md","32","No","Yes","No"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\01_Arbitrary_Precision.md","34","No","No","No"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\03_LSM_Tree.md","34","No","No","No"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\02_Linear_Algebra_Library.md","34","No","No","No"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\03_Fourier_Transforms.md","34","No","No","No"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\04_B_Tree_Plus.md","34","No","No","No"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\03_Numerical_Algorithms.md","34","No","No","No"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\02_String_Algorithms.md","34","No","No","No"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\01_Graph_Algorithms.md","34","No","No","No"
"09_Cross_Platform_Development\05_Web_Assembly\01_C_to_WASM.md","34","No","No","No"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\02_AVL_Tree.md","34","No","No","No"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\01_Red_Black_Tree.md","34","No","No","No"
"09_Data_Structures_Algorithms\07_Geometric_Algorithms\01_Computational_Geometry.md","34","No","No","No"
"10_Modern_C_Development\03_Metaprogramming\02_C_Code_Generation.md","34","No","No","No"
"10_Modern_C_Development\03_Metaprogramming\01_C_Preprocessor_Metaprogramming.md","34","No","No","No"
"10_Modern_C_Development\02_Modern_Tooling\01_LLVM_Toolchain.md","34","No","No","No"
"11_Performance_Engineering\05_Profiling_Tools\01_Flame_Graphs.md","34","No","No","No"
"11_Performance_Engineering\04_Benchmarking\01_Google_Benchmark.md","34","No","No","No"
"11_Performance_Engineering\03_GPU_Programming\01_CUDA_C_Basics.md","34","No","No","No"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\02_HyperLogLog.md","34","No","No","No"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\01_Bloom_Filter.md","34","No","No","No"
"09_Data_Structures_Algorithms\07_Geometric_Algorithms\02_Collision_Detection.md","34","No","No","No"
"10_Modern_C_Development\01_Memory_Safety\01_Announcing_Ownership.md","34","No","No","No"
"09_Data_Structures_Algorithms\09_Distributed_Algorithms\02_Consistent_Hashing.md","34","No","No","No"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\03_Count_Min_Sketch.md","34","No","No","No"
"09_Cross_Platform_Development\04_Mobile_Platforms\01_Android_NDK.md","34","No","No","No"
"07_Development_Methodology\10_Continuous_Integration\02_Docker_for_C.md","34","No","No","No"
"07_Development_Methodology\10_Continuous_Integration\01_CMake_CI_CD.md","34","No","No","No"
"07_Development_Methodology\09_Legacy_Code\02_Working_with_Legacy_Systems.md","34","No","No","No"
"07_Development_Methodology\11_Documentation_Standards\02_Architecture_Documentation.md","34","No","No","No"
"07_Development_Methodology\11_Documentation_Standards\01_C_API_Documentation.md","34","No","No","No"
"07_Development_Methodology\10_Continuous_Integration\03_Quality_Gates.md","34","No","No","No"
"07_Development_Methodology\09_Legacy_Code\01_Refactoring_C_Code.md","34","No","No","No"
"07_Development_Methodology\05_Performance_Optimization\01_Profiling_Methodology.md","34","No","No","No"
"06_Embedded_Bare_Metal\14_Aerospace\01_DO_178C.md","34","No","No","No"
"06_Embedded_Bare_Metal\13_Medical_Devices\01_Medical_Device_Software.md","34","No","No","No"
"07_Development_Methodology\08_Documentation\01_Technical_Writing_for_C.md","34","No","No","No"
"07_Development_Methodology\07_Code_Review\01_C_Code_Review_Guide.md","34","No","No","No"
"07_Development_Methodology\06_Security_Development\01_Secure_Coding_Practices.md","34","No","No","No"
"07_Development_Methodology\12_Team_Collaboration\01_Git_Workflows.md","34","No","No","No"
"08_Toolchain_Ecosystem\10_IDE_Integration\01_VSCode_C_Development.md","34","No","No","No"
"08_Toolchain_Ecosystem\09_Package_Managers\02_Conan_Package_Manager.md","34","No","No","No"
"08_Toolchain_Ecosystem\09_Package_Managers\01_vcpkg_Usage.md","34","No","No","No"
"08_Toolchain_Ecosystem\11_Code_Generation\02_AST_Transformation.md","34","No","No","No"
"08_Toolchain_Ecosystem\11_Code_Generation\01_Annoying_Tools.md","34","No","No","No"
"08_Toolchain_Ecosystem\10_IDE_Integration\02_CLion_C_Projects.md","34","No","No","No"
"08_Toolchain_Ecosystem\08_Testing_Tools\02_Fuzzing_with_LibFuzzer.md","34","No","No","No"
"08_Toolchain_Ecosystem\06_Debuggers\01_GDB_Advanced_Techniques.md","34","No","No","No"
"08_Toolchain_Ecosystem\05_Static_Analyzers\01_Clang_Static_Analyzer.md","34","No","No","No"
"07_Development_Methodology\12_Team_Collaboration\02_Open_Source_Governance.md","34","No","No","No"
"08_Toolchain_Ecosystem\08_Testing_Tools\01_GTest_Integration.md","34","No","No","No"
"08_Toolchain_Ecosystem\07_Build_Systems\02_Bazel_for_C.md","34","No","No","No"
"08_Toolchain_Ecosystem\07_Build_Systems\01_Meson_Build_System.md","34","No","No","No"
"20_Industrial_Case_Studies\25_Load_Balancer\01_Load_Balancer_Implementation.md","34","No","Yes","No"
"20_Industrial_Case_Studies\22_Time_Series_DB\01_Time_Series_Engine.md","34","No","Yes","No"
"20_Industrial_Case_Studies\21_Message_Queue\01_Message_Queue_Implementation.md","34","No","Yes","No"
"20_Industrial_Case_Studies\30_WAF\01_Web_Application_Firewall.md","34","No","Yes","No"
"20_Industrial_Case_Studies\29_DDOS_Protection\01_DDOS_Mitigation_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\26_Service_Mesh\01_Service_Mesh_Data_Plane.md","34","No","Yes","No"
"20_Industrial_Case_Studies\19_Search_Engine\01_Search_Engine_Core.md","34","No","Yes","No"
"20_Industrial_Case_Studies\10_File_System\01_FUSE_File_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\09_Language_Server\01_Clangd_Implementation.md","34","No","Yes","No"
"20_Industrial_Case_Studies\37_Quantum_Computing_Simulator.md","34","No","Yes","No"
"20_Industrial_Case_Studies\18_Blockchain\01_Blockchain_Core.md","34","No","Yes","No"
"20_Industrial_Case_Studies\14_Compiler_Backend\01_LLVMC_Backend.md","34","No","Yes","No"
"20_Industrial_Case_Studies\13_Emulator\01_CPU_Emulator.md","34","No","Yes","No"
"20_Industrial_Case_Studies\31_Identity_Management\01_Authentication_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\42_Digital_Signal_Processor\01_DSP_Algorithms.md","34","No","Yes","No"
"20_Industrial_Case_Studies\41_Neural_Network_Inference\01_NN_Inference_Engine.md","34","No","Yes","No"
